,Nbrhood,Nbr_latitude,Nbr_longitude,Borough_name,venue.name,venue.location.lat,venue.location.lng,venue_category
0,Abbey Wood,51.4508323,0.0637268,"Bexley, Greenwich ",The Eltham Centre,51.451318442813275,0.05767668365585441,Gym / Fitness Center
1,Abbey Wood,51.4508323,0.0637268,"Bexley, Greenwich ",Rixos,51.450678,0.057724,Mediterranean Restaurant
2,Abbey Wood,51.4508323,0.0637268,"Bexley, Greenwich ",Nando's Eltham,51.45054026,0.05653644,Portuguese Restaurant
3,Abbey Wood,51.4508323,0.0637268,"Bexley, Greenwich ",Rising Sun,51.4507943380767,0.05853357054958461,Pub
4,Abbey Wood,51.4508323,0.0637268,"Bexley, Greenwich ",Ziyafet,51.450758998640495,0.05798186393038953,Mediterranean Restaurant
5,Abbey Wood,51.4508323,0.0637268,"Bexley, Greenwich ",Prezzo,51.450789039316696,0.05840314958593502,Italian Restaurant
6,Abbey Wood,51.4508323,0.0637268,"Bexley, Greenwich ",Pizza Hut,51.45074893144365,0.05759676580105587,Pizza Place
7,Abbey Wood,51.4508323,0.0637268,"Bexley, Greenwich ",Kaspa's,51.450626,0.058590844,Dessert Shop
8,Acton,51.49153695,-0.21497089652160112,"Ealing, Hammersmith and Fulham",St Paul's Hotel,51.49363863195706,-0.21549449909163323,Hotel
9,Acton,51.49153695,-0.21497089652160112,"Ealing, Hammersmith and Fulham",M&S Simply Food,51.49065,-0.21819636,Grocery Store
10,Acton,51.49153695,-0.21497089652160112,"Ealing, Hammersmith and Fulham",The Melody Restaurant,51.4935293,-0.2153599,Cocktail Bar
11,Acton,51.49153695,-0.21497089652160112,"Ealing, Hammersmith and Fulham",Latymers,51.49310955988226,-0.21662921502968402,Pub
12,Acton,51.49153695,-0.21497089652160112,"Ealing, Hammersmith and Fulham",Queen's Club,51.48735994059355,-0.21255785455030968,Tennis Stadium
13,Acton,51.49153695,-0.21497089652160112,"Ealing, Hammersmith and Fulham",L'Elysee,51.49496662542406,-0.2117374925961278,Bakery
14,Acton,51.49153695,-0.21497089652160112,"Ealing, Hammersmith and Fulham",Queen’s Club Real Tennis,51.48731223161666,-0.21266916161053445,Tennis Court
15,Acton,51.49153695,-0.21497089652160112,"Ealing, Hammersmith and Fulham",Pret A Manger,51.494559160047125,-0.2126808381556341,Sandwich Place
16,Acton,51.49153695,-0.21497089652160112,"Ealing, Hammersmith and Fulham",The W14 Hotel Kensington London,51.491705128422055,-0.21055887529829082,Hotel
17,Acton,51.49153695,-0.21497089652160112,"Ealing, Hammersmith and Fulham",The Albion,51.49457636054852,-0.21276989824243983,Pub
18,Acton,51.49153695,-0.21497089652160112,"Ealing, Hammersmith and Fulham",Cumberland Arms,51.494483932386345,-0.21036351411388785,Bar
19,Acton,51.49153695,-0.21497089652160112,"Ealing, Hammersmith and Fulham",Gwendwr Garden,51.49112126600677,-0.20901421715298926,Garden
20,Acton,51.49153695,-0.21497089652160112,"Ealing, Hammersmith and Fulham",Indian Express,51.49302784342529,-0.20823223710944824,Indian Restaurant
21,Acton,51.49153695,-0.21497089652160112,"Ealing, Hammersmith and Fulham",Barons Court Theatre,51.489359556482235,-0.20938463683730826,Indie Theater
22,Acton,51.49153695,-0.21497089652160112,"Ealing, Hammersmith and Fulham",The Curtains Up,51.48935988428107,-0.2093974802544377,Pub
23,Acton,51.49153695,-0.21497089652160112,"Ealing, Hammersmith and Fulham",C'est Ici,51.48996210005485,-0.21314819946527122,Café
24,Acton,51.49153695,-0.21497089652160112,"Ealing, Hammersmith and Fulham",Lounge Bar,51.49232235058393,-0.22035233076303593,Cocktail Bar
25,Acton,51.49153695,-0.21497089652160112,"Ealing, Hammersmith and Fulham",Kanna Thai,51.49450053931474,-0.2131227010244012,Thai Restaurant
26,Acton,51.49153695,-0.21497089652160112,"Ealing, Hammersmith and Fulham",Virgin Active,51.49297397343798,-0.22002965211868286,Gym / Fitness Center
27,Acton,51.49153695,-0.21497089652160112,"Ealing, Hammersmith and Fulham",Novotel London West,51.491861,-0.2208359,Hotel
28,Acton,51.49153695,-0.21497089652160112,"Ealing, Hammersmith and Fulham",Domino's Pizza,51.49323912121304,-0.20880372879514653,Pizza Place
29,Acton,51.49153695,-0.21497089652160112,"Ealing, Hammersmith and Fulham",Costa Coffee,51.48802390839242,-0.2191472053527832,Coffee Shop
30,Acton,51.49153695,-0.21497089652160112,"Ealing, Hammersmith and Fulham",Hammersmith Fitness and Squash Centre,51.4920756966833,-0.22143124091019292,Gym
31,Acton,51.49153695,-0.21497089652160112,"Ealing, Hammersmith and Fulham",Energize Gym,51.4908748670232,-0.21527266195845504,Gym
32,Acton,51.49153695,-0.21497089652160112,"Ealing, Hammersmith and Fulham",Starbucks,51.493173,-0.221586,Coffee Shop
33,Acton,51.49153695,-0.21497089652160112,"Ealing, Hammersmith and Fulham",The Lunch Box,51.493392118428666,-0.21814305461858186,Café
34,Acton,51.49153695,-0.21497089652160112,"Ealing, Hammersmith and Fulham",Tesco Express,51.4951056505324,-0.21104490674588305,Grocery Store
